source,target,value
abastadear,abastardar,1.0
abastadear,bastardear,1.0
abastadear,corromper,1.0
abastadear,decompor,1.0
abastadear,degenerar,1.0
abastadear,desdizer,1.0
abastadear,mentir,1.0
