source,target,value
aclimatar-se,aclimatizar-se,1.0
aclimatar-se,acostumar-se,1.0
aclimatar-se,adaptar-se,1.0
aclimatar-se,aderir,1.0
aclimatar-se,climatizar-se,1.0
aclimatar-se,encasar-se,1.0
aclimatar-se,gostar,1.0
aclimatar-se,desacostumar-se,1.0
